,date,tweet,dirty_tweet
93,2019-01-26 14:37:47,Let us all celebrate our great country India Prosperity health and happiness to all Happy Republic Day Jai Hind,"Let us all celebrate our great country - India. Prosperity, health and happiness to all. Happy Republic Day. Jai Hind! https://t.co/xsbqX0cgEu"
94,2019-01-24 09:01:34,All the best my friend So extremely happy for this Love to you Also very very proud of all your achievements,All the best my friend. So extremely happy for this. Love to you. Also very very proud of all your achievements.  https://t.co/iotCGyyXxr
95,2019-01-18 06:56:58,Winning is only half of it Having fun is the other half Playing is All of it The Playboys mantra,“Winning is only half of it....Having fun is the other half!! Playing is All of it....” The Playboys’  mantra. https://t.co/8SA7DYdsOg
96,2019-01-13 11:57:14,Weekend Research A survey has found that One in Three men are just as lazy as the other Two We r the other two and we don t agree mom,Weekend Research: “A survey has found that One in Three men are just as lazy as the other Two! “ We r the other two and we don’t agree....mom! https://t.co/BRhzslpD73
97,2018-12-28 08:46:21,Ek chota aadmi banane ke liye bade logon ki badi mehnat lagti hai Proud of the entire redchillies for the fantastic work KatrinaKaif,"Ek chota aadmi banane ke liye bade logon ki badi mehnat lagti hai. 
Proud of the entire @vfx_redchillies for the fantastic work! 
https://t.co/yllBknULyn

@AnushkaSharma #KatrinaKaif @aanandlrai @RedChilliesEnt @cypplOfficial"
98,2018-12-27 17:45:16,Thank You U took out time from ur holidays Please give my love to Preeti amp sorry to pull u away from her,Thank You! U took out time from ur holidays. Please give my love to Preeti &amp; sorry to pull u away from her.  https://t.co/Xb1KjcSMF2
99,2018-12-25 09:05:59,Pyaar mein taare tod leta hai zara chaand ko sambhaal ke rakhna Feel the magic of love this Christmas Watch ChristmasWithZero KatrinaKaif,"Pyaar mein taare tod leta hai, zara chaand ko sambhaal ke rakhna!
Feel the magic of love this Christmas!
Watch: https://t.co/qx7UPl7KC5
#ChristmasWithZero

@AnushkaSharma #KatrinaKaif @aanandlrai @RedChilliesEnt @cypplOfficial"
100,2018-12-24 07:36:07,Thank u sir So glad u enjoyed it,Thank u sir. So glad u enjoyed it.  https://t.co/EvcgvTjB8w
101,2018-12-23 17:22:13,Height thodi choti hai par chhalaang sab se oonchi hai ki Watch the promo now ZeroWinningHearts Book Now KatrinaKaif,"Height thodi choti hai par chhalaang sab se oonchi hai @BauuaSingh ki!

Watch the promo now: https://t.co/vhAApsepP4
#ZeroWinningHearts

Book Now: https://t.co/3ypCFSmKi3

@AnushkaSharma #KatrinaKaif @aanandlrai @RedChilliesEnt @cypplOfficial"
102,2018-12-23 09:57:18,Jin dilon ko achchi lagi shukriya,Jin dilon ko achchi lagi.... shukriya!! https://t.co/I8mlxrz3ox
103,2018-12-23 09:55:14,BAUAA SE MILNA HAI Download karo MyJio App aur participate karo MEET KING KHAN contest me Jio exclusive Click here,BAUAA SE MILNA HAI? Download karo MyJio App aur participate karo MEET KING KHAN contest me. Jio exclusive. Click here https://t.co/eEUeeihnw2
104,2018-12-23 09:14:53,Sitaron ke khwaab dekhne waalon humne chaand ko paida kiya hai Merry Christmas to you all,Sitaron ke khwaab dekhne waalon humne chaand ko paida kiya hai…Merry Christmas to you all. https://t.co/NjEImBHtlH
105,2018-12-21 22:27:14,Reading msgs that u enjoyed Zero I can t answer individually so a few lines from a poem I was reading The earth is wickedly dark so why is ur poem so white Becos my heart is teeming with thirty seas I answered Mahmoud So thk u all from the bottom of those thirty seas,"Reading msgs that u enjoyed #Zero .I can’t answer individually, so a few lines from a poem I was reading: “The earth is wickedly dark, so why is ur poem so white? Becos my heart is teeming with thirty seas, I answered.(Mahmoud). So thk u all from the bottom of those thirty seas!"
106,2018-12-21 10:26:53,Thank u Kolkata,Thank u Kolkata... https://t.co/CiLr8sVtl8
107,2018-12-21 10:25:02,Bauua loves u too,Bauua loves u too!! https://t.co/mUTtZcIy4S
108,2018-12-21 10:23:44,Sach mein Film Nahi feeling hai Thank u ZeroDay,Sach mein... Film Nahi feeling hai. Thank u!!  #ZeroDay https://t.co/YnlBd7c1Kh
109,2018-12-21 10:19:21,Thank u all hope u had a good time with Bauua Aafia Babita and the others,"Thank u all... hope u had a good time with Bauua, Aafia, Babita and the others https://t.co/AmSYvUy8QV"
110,2018-12-21 10:18:11,Thank u Patna,Thank u Patna! https://t.co/AljnvQWRdx
111,2018-12-21 10:17:54,Love to all of u in Pune,Love to all of u in Pune... https://t.co/dapolGRDIe
112,2018-12-21 10:16:25,Bauua sends his love,Bauua sends his love... https://t.co/p7GysRSjpB
113,2018-12-21 10:15:10,Love u Hope u enjoyed Zero,Love u... Hope u enjoyed #Zero https://t.co/itwOAObx0p
114,2018-12-21 10:13:55,Nice,Nice... https://t.co/7SiANNg5bO
115,2018-12-21 10:13:18,Thank u Gwalior Gamchhas are looking cool ZeroDay,Thank u Gwalior... Gamchhas are looking cool! #ZeroDay https://t.co/0uRmsDFORz
116,2018-12-21 10:12:06,Hope u had fun Nashik ZeroDay,Hope u had fun Nashik... #ZeroDay https://t.co/xKDO1H2UNY
117,2018-12-21 10:10:26,Shukriya Jalgaon,Shukriya Jalgaon... https://t.co/HuZmfW9ReZ
118,2018-12-21 10:09:46,Thank u Kota Looks like u had a good ZeroDay,Thank u Kota... Looks like u had a good #ZeroDay https://t.co/OyoD1YRA8i
119,2018-12-21 09:36:23,Thank u all from the bottom of our hearts for making ZeroDay so special,"Thank u all from the bottom of our hearts for making #ZeroDay so special... 

https://t.co/3ypCFSElGD https://t.co/1k6dbZBcGm"
120,2018-12-20 14:42:49,My Taani Akira Sejal Aafia amp Friend I am privileged to have worked with u U make me a better actor Love u,"My Taani, Akira, Sejal, Aafia &amp; Friend. I am privileged to have worked with u. U make me a better actor. Love u. https://t.co/wJwUxeaRK8"
121,2018-12-20 13:36:36,Ek pyaar hi toh hai jo insaanon ke bhi parr laga deta hai ZeroTomorrow Book your tickets now KatrinaKaif,"Ek pyaar hi toh hai, jo insaanon ke bhi parr laga deta hai! 
#ZeroTomorrow

Book your tickets now: https://t.co/VOT6yMCzRd

@AnushkaSharma #KatrinaKaif @aanandlrai @RedChilliesEnt @cypplOfficial https://t.co/jpxVLid2HP"
122,2018-12-20 13:24:40,RT Face zero hassles as you make plans for your favourite film this season Book your tickets for s Zer,"RT @bookmyshow: Face zero hassles as you make plans for your favourite @iamsrk film, this season.

Book your tickets for @aanandlrai's #Zer…"
123,2018-12-20 13:24:26,RT Watch say PaytmKaro Book movie tickets on Paytm amp get 50 Cashback up to 150 Use code ZERO http,RT @PaytmTickets: Watch @iamsrk say #PaytmKaro! Book @Zero21Dec movie tickets on Paytm &amp; get 50% Cashback* up to ₹150. Use code: ZERO. http…
124,2018-12-20 13:24:08,RT Pay using Amazon Pay to book your tickets for Zero on BookMyShow amp get up to Rs 150 cashback Tickets are live book now at h,"RT @amazonIN: Pay using Amazon Pay to book your tickets for Zero on BookMyShow &amp; get up to Rs.150 cashback.
Tickets are live, book now at h…"
125,2018-12-20 13:22:58,RT The grand finale we were all waiting for has finally ARRived Watch the full episode here to find out who is the authe,"RT @RedChilliesEnt: The grand finale we were all waiting for has finally ARRived! 
Watch the full episode here to find out who is the authe…"
126,2018-12-20 08:56:18,Ye ishq nahi sab ka kaam iss mein na jaane kitni Heer hui badnaam Watch Zero s new song HeerBadnaam ZeroTomorrow KatrinaKaif,"Ye ishq nahi sab ka kaam, iss mein na jaane kitni Heer hui badnaam.

Watch #Zero’s new song #HeerBadnaam: https://t.co/QmgYUVSmzp

#ZeroTomorrow
#KatrinaKaif @AnushkaSharma @aanandlrai @RedChilliesEnt @cypplOfficial"
127,2018-12-19 15:03:12,RT Our lovely cast of Zero took over today amp KatrinaKaif had a lot of fun on air a,"RT @RedChilliesEnt: Our lovely cast of #Zero took over @RadioMirchi today! 
@iamsrk @AnushkaSharma &amp; #KatrinaKaif had a lot of fun on air a…"
128,2018-12-19 11:41:46,bg And thanks u for that,@imsmith_bg @BauuaSingh And @BauuaSingh thanks u for that... https://t.co/n9DwbGKvEo
129,2018-12-19 11:39:25,dadlani Have fun Pune,@SRKCHENNAIFC @BauuaSingh @SrkPuneCFC @aanandlrai @RedChilliesEnt @KarunaBadwal @khyatimadaan @BilalS158 @pooja_dadlani @AnushkaSharma @Zero21Dec Have fun Pune!! https://t.co/irsM6tq4OP
130,2018-12-19 11:37:43,And is excited to meet u too Have fun,@mkrishnasolanki @BauuaSingh @AnushkaSharma @aanandlrai @Zero21Dec And @BauuaSingh is excited to meet u too!! Have fun... https://t.co/Mk4RHOoidf
131,2018-12-19 11:36:18,Bauua can t wait to entertain Sangli,@SRKUniverse Bauua can’t wait to entertain Sangli... https://t.co/koNvQNuYEs
132,2018-12-19 11:34:19,Film nahi feeling hai Hope u enjoy zero,@RaazManish5 @BauuaSingh Film nahi feeling hai!! Hope u enjoy #zero... https://t.co/97ay8fDTNv
133,2018-12-19 11:31:52,Have an awesome time with Bauua and team Zero,@PrasadSRKian Have an awesome time with Bauua and team #Zero!! https://t.co/2tLDLaqIwP
134,2018-12-19 11:28:30,That s nice Enjoy the FDFS Zero,@itslovey @RedChilliesEnt @BauuaSingh @Snapchat @AnushkaSharma @aanandlrai @cypplOfficial That’s nice!! Enjoy the FDFS... #Zero https://t.co/8DROZgekZZ
135,2018-12-19 11:26:50,dasgupta You are awesome too Thanks and enjoy the film,@moulik_dasgupta @bauaaa @jayanta20197800 You are awesome too... Thanks and enjoy the film! https://t.co/kwy3VMlwMU
