,tweet
146,"“College educated wite suburian woman and I voted for Trump.”  

Well ok that explains everything... https://t.co/LDD8gOJD6B"
147,@DaisyGamble19 @MaddowBlog @MSNBC Puerto Ricans are too lazy to help themselves. Do you know that they do not pay taxes to the U.S.? Trump has given them plenty of money and supplies. They are too lazy to work
148,"US soccer star blasts Trump after Megan Rapinoe comments: He's angered by women he ""cannot grope"" https://t.co/CdivVSjjwu https://t.co/P4Uodsv7eo"
149,"@Newsweek @Alyssa_Milano Hi @Alyssa_Milano Do you think President Trump is going to be re-elected?  If he is re-elected, then what?"
150,"Trump shrugs off the brutal murder of Jamal Khashoggi. Trump is trying to blame the Democrats for the internment of children at the border. Trump says he never could have raped E. Jean Carroll because she's not his type. There's your president, America."
151,"Trump's attempt to shift the blame for the dirty, destitute, and ill children at the border, where kids are apparently taking care of other kids, is the act of a morally corrupt coward. He's been president for almost 2 and a half years."
152,"This is shocking: Google has a plan to prevent a ""Trump situation"" in 2020.

The left tried to stop President Trump in 2016 by any means possible. Make no mistake, power is never given freely.

The left will claw like a rabid beast to take it back. #ProjectVeritas #GoogleExposed https://t.co/gNOBoVkfAC"
153,Newly discovered Samantha Power emails detail secret Obama team effort to thwart and shame Trump during transition https://t.co/7wCCDnCl1e
154,"RT if you think this unhinged woman is one of the most obnoxious Anti-Americans in Hollywood. I would say THE most but she has so much competition!
Alyssa Milano is turned away from Florida migrant detention center https://t.co/UVqjGR8JPT via @MailOnline"
155,This #DemDebate is just a free 2 hour advertisement for Trump 2020.
156,"During Joe Biden’s first two years as Vice President, 785 migrants died attempting to cross the border illegally, 204 more than during President Trump’s first two years. 

Where was Democrats' outrage then? #DemDebate"
157,"@glennkirschner2 Trump &amp; Pence watched the #DemDebate from the balcony &amp; pretended it was the opera.
They were animated. https://t.co/ejHnae1ZDE"
158,"“Yo soy...uh, Beto. Me gusta ‘freedom,’ Trump no es bueno!”"
159,"After tonight’s #DemocraticDebate.......that whole Trump 3rd term thing is looking better and better. 

😁"
160,"U. S. asylum officers say Trump’s ‘Remain in Mexico’ policy is threatening migrants’ lives, ask federal court to end it https://t.co/Nu8jeEMYhH"
161,"What I want more than anything is for some 2020 Dem candidate, or a drag queen, or a pissed-off Black woman (though he probably couldn't take that), or somebody to go full-on ""Julia Sugarbaker"" all over #Trump, up one side and down the other!

https://t.co/ErFwyiLy9T"
162,Raise your hand if this Sh*t show tonight has confirmed your vote for Trump even more than ever in 2020.. https://t.co/YBRcLG0uj4
163,"Looking forward to collaborating with all of our #BeBest Ambassadors. Delighted to be working alongside so many people both inside and outside of government to better the lives of children everywhere!
https://t.co/VXxwgg6DFz"
164,"Ohio voters back President Donald Trump during an MSNBC town hall with Chris Matthews, saying that he “cares about us” and “creates opportunities.”  https://t.co/NdV6fC8dQq"
165,Trump won the debate
166,".... additional physical barriers on the border.  Then they refused to fund more immigration judges. And now they blame the president for the disaster they’ve created and still refuse to fix it, and their media mouthpieces go along with all of it.  
https://t.co/qFGwvE5wl0"
167,"2020 candidate Rep. Joaquin Castro, who made headlines for his confrontation with Beto O'Rourke in tonight's #DemDebate, says he showed people, ""I'm a strong candidate, I have a great vision for the future of the country, I can handle myself... and... I can beat Donald Trump."" https://t.co/kXayzhUxuF"
168,"Trump’s statement on E. Jean Carroll and the alleged rape: “never met this person.” 

And yet here’s a picture of them together. https://t.co/MZmBBGfouB"
169,WTF? AOC &amp; Liberals Protest Trump By Depriving Illegal Children of Beds -  #Resist https://t.co/avjaeEBxfC
170,"@LaMauLeona @larubisco Hhhuuyyy pensé que el país estaba mal económicamente, pero el mismo AMLO dijo que no, entonces, por qué se empeña en ahuyentar maltratar instituciones? Hoy hasta la guardia nacional es el muro de Trump, eso no pasó con Peña, ahora sí que “que “peña” con eso."
171,Can Someone please inform Pocahontas that under Donald Trump we have record low unemployment for African Americans and Hispanics? #DemDebate
172,Kudos to the Dem candidates tonight. Their disagreements were over matters of substance. They avoided Trump-like personal attacks. They have already elevated the 2020 election.
173,@11thHour They aren’t like Trump! And not threatened by Biden!
174,A Trump rally has broken out outside the #DemDebate in Miami. https://t.co/sPdQ29uzOM
175,"After tonight’s #DemocraticDebate.......that whole Trump 3rd term thing is looking better and better. 

😁"
176,"During Joe Biden’s first two years as Vice President, 785 migrants died attempting to cross the border illegally, 204 more than during President Trump’s first two years. 

Where was Democrats' outrage then? #DemDebate"
177,"The Jon Stewart vs. McConnell showdown can be a lesson for 2020 Democrats: “There is a huge opportunity and obligation for Democrats to now focus their fire not just on Trump, but on McConnell” https://t.co/nLwpjyxNuY"
178,U.S. women's soccer star Ali Krieger says Trump is angered by women he “cannot control or grope.” Truth.
179,"Hey @DonnyDeutsch, GTFO:
""I do not believe that Elizabeth Warren on stage with Donald Trump, beats him."" 
""If we're being honest with ourselves, a lot of people agree with me.""
""We need to exude strength."" 
""She doesn't have what it takes."" 
THIS IS WHAT SEXISM LOOKS LIKE, @MSNBC"
180,"To be clear, I’d take any of the Dems over Trump.  Then again, against Trump, I’d take the sound technician who broadcast Lester Holt’s bathroom break."
181,"@KPFidler She will be that way debating Trump. Without a trace of smugness she'll make the case that he hasn't been looking out for the working class like he promised to. He'll just pompously ""Pocahontas"" his way through it all and come off looking like a chump."
